Open,High,Low,PER,PBV,ROE,Close
1400.0,1450.0,1350.0,23.14,2.74,3.77,5207.3652267456055
1400.0,1450.0,1350.0,23.14,2.74,3.77,5190.523099899292
1400.0,1450.0,1350.0,23.14,2.74,3.77,5213.065671920776
1400.0,1450.0,1350.0,23.14,2.74,3.77,5248.8622188568115
1400.0,1450.0,1350.0,23.14,2.74,3.77,5298.825979232788
1400.0,1450.0,1350.0,23.14,2.74,3.77,5431.020259857178
1400.0,1450.0,1350.0,23.14,2.74,3.77,5520.745515823364
1400.0,1450.0,1350.0,23.14,2.74,3.77,5602.264070510864
1400.0,1450.0,1350.0,23.14,2.74,3.77,5685.262775421143
1400.0,1450.0,1350.0,23.14,2.74,3.77,5701.814794540405
1400.0,1450.0,1350.0,23.14,2.74,3.77,5721.4356899261475
1400.0,1450.0,1350.0,23.14,2.74,3.77,5715.924072265625
1400.0,1450.0,1350.0,23.14,2.74,3.77,5708.163690567017
1400.0,1450.0,1350.0,23.14,2.74,3.77,5652.828216552734
1400.0,1450.0,1350.0,23.14,2.74,3.77,5593.380165100098
1400.0,1450.0,1350.0,23.14,2.74,3.77,5562.410306930542
1400.0,1450.0,1350.0,23.14,2.74,3.77,5578.752899169922
1400.0,1450.0,1350.0,23.14,2.74,3.77,5591.849803924561
1400.0,1450.0,1350.0,23.14,2.74,3.77,5614.094972610474
1400.0,1450.0,1350.0,23.14,2.74,3.77,5613.770532608032
1400.0,1450.0,1350.0,23.14,2.74,3.77,5591.33095741272
1400.0,1450.0,1350.0,23.14,2.74,3.77,5510.590028762817
1400.0,1450.0,1350.0,23.14,2.74,3.77,5460.11815071106
1400.0,1450.0,1350.0,23.14,2.74,3.77,5493.206739425659
1400.0,1450.0,1350.0,23.14,2.74,3.77,5519.818544387817
1400.0,1450.0,1350.0,23.14,2.74,3.77,5495.986795425415
1400.0,1450.0,1350.0,23.14,2.74,3.77,5483.552074432373
1400.0,1450.0,1350.0,23.14,2.74,3.77,5488.765430450439
1400.0,1450.0,1350.0,23.14,2.74,3.77,5494.452142715454
1400.0,1450.0,1350.0,23.14,2.74,3.77,5486.751413345337
1400.0,1450.0,1350.0,23.14,2.74,3.77,5521.269512176514
1400.0,1450.0,1350.0,23.14,2.74,3.77,5656.0357093811035
1400.0,1450.0,1350.0,23.14,2.74,3.77,5754.071950912476
1400.0,1450.0,1350.0,23.14,2.74,3.77,5811.427021026611
1400.0,1450.0,1350.0,23.14,2.74,3.77,5777.335071563721
1400.0,1450.0,1350.0,23.14,2.74,3.77,5737.706613540649
1400.0,1450.0,1350.0,23.14,2.74,3.77,5750.915098190308
1400.0,1450.0,1350.0,23.14,2.74,3.77,5674.601316452026
1400.0,1450.0,1350.0,23.14,2.74,3.77,5670.490884780884
