OpenV,HighV,LowV,Close
9.68,10.06,9.39,7049.804744005203
9.68,10.06,9.39,7013.265573859215
9.68,10.06,9.39,6889.826767683029
9.68,10.06,9.39,6808.227512478828
9.68,10.06,9.39,6862.578753590584
9.68,10.06,9.39,6910.96894133091
9.68,10.06,9.39,6856.063335299492
9.68,10.06,9.39,6728.247002840042
9.68,10.06,9.39,6547.344685673714
9.68,10.06,9.39,6469.954038500786
9.68,10.06,9.39,6385.132292628288
9.68,10.06,9.39,6250.6968430280685
9.68,10.06,9.39,6135.2487180233
9.68,10.06,9.39,6285.349215865135
9.68,10.06,9.39,6411.237010598183
9.68,10.06,9.39,6216.3679584264755
9.68,10.06,9.39,6115.035920858383
9.68,10.06,9.39,6070.146058440208
9.68,10.06,9.39,6081.2509660720825
9.68,10.06,9.39,6084.174751877785
9.68,10.06,9.39,6112.699761867523
9.68,10.06,9.39,6322.376227140427
9.68,10.06,9.39,6446.268960356712
9.68,10.06,9.39,6549.409531950951
9.68,10.06,9.39,6582.607512116432
9.68,10.06,9.39,6516.578084826469
9.68,10.06,9.39,6374.691970705986
9.68,10.06,9.39,6255.833523154259
9.68,10.06,9.39,6051.511570811272
9.68,10.06,9.39,5835.343166232109
9.68,10.06,9.39,5727.780719161034
9.68,10.06,9.39,5604.2506058216095
9.68,10.06,9.39,5654.827600121498
9.68,10.06,9.39,6056.399112820625
9.68,10.06,9.39,6423.734352469444
9.68,10.06,9.39,6314.856430053711
9.68,10.06,9.39,5975.003994345665
9.68,10.06,9.39,5888.197622060776
9.68,10.06,9.39,5933.85772562027
9.68,10.06,9.39,5831.118905544281
9.68,10.06,9.39,5422.9856687784195
9.68,10.06,9.39,5143.085190355778
9.68,10.06,9.39,5081.521661639214
9.68,10.06,9.39,4474.51848846674
9.68,10.06,9.39,4229.213968098164
9.68,10.06,9.39,3777.4398204684258
9.68,10.06,9.39,3588.7320452332497
9.68,10.06,9.39,3334.9121536016464
9.68,10.06,9.39,3641.6403070688248
9.68,10.06,9.39,4486.495705604553
9.68,10.06,9.39,4844.915779054165
9.68,10.06,9.39,4665.833409309387
9.68,10.06,9.39,4914.951308131218
9.68,10.06,9.39,4876.163372993469
9.68,10.06,9.39,4948.964204728603
9.68,10.06,9.39,4950.747629284859
9.68,10.06,9.39,4943.274137973785
9.68,10.06,9.39,4770.750231325626
9.68,10.06,9.39,4488.334240555763
9.68,10.06,9.39,4442.020638585091
9.68,10.06,9.39,4470.12107026577
9.68,10.06,9.39,4531.6888382434845
